departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
antioquia;copacabana;arma de fuego;1;1;10;2014;4
boyaca;tunja (ct);arma de fuego;1;9;10;2014;5
meta;puerto gaitan;sin empleo de armas;1;10;10;2014;6
bolivar;cartagena (ct);arma de fuego;1;14;10;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;10;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;10;2014;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;10;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;10;2014;3
sucre;los palmitos;arma de fuego;1;30;10;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;31;10;2014;6
cordoba;san andres sotavento;arma de fuego;1;4;11;2014;3
magdalena;santa ana;arma de fuego;1;5;11;2014;4
antioquia;medellin (ct);arma de fuego;1;6;11;2014;5
narino;pasto (ct);arma de fuego;1;7;11;2014;6
antioquia;la union;arma de fuego;1;10;11;2014;2
antioquia;medellin (ct);sin empleo de armas;1;10;11;2014;2
antioquia;medellin (ct);arma de fuego;1;13;11;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;11;2014;6
cundinamarca;anapoima;arma de fuego;1;24;11;2014;2
atlantico;puerto colombia;arma de fuego;1;28;11;2014;6
casanare;villanueva;arma de fuego;1;28;11;2014;6
meta;acacias;arma de fuego;1;28;11;2014;6
antioquia;chigorodo;contundentes;1;9;12;2014;3
valle;san pedro;cortantes;1;10;12;2014;4
cordoba;tierralta;arma de fuego;1;18;12;2014;5
boyaca;puerto boyaca;contundentes;1;18;12;2014;5
antioquia;rionegro;sin empleo de armas;1;19;12;2014;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;1;2015;3
magdalena;chibolo;contundentes;1;7;1;2015;4
antioquia;medellin (ct);arma de fuego;1;9;1;2015;6
valle;yumbo;arma de fuego;1;13;1;2015;3
antioquia;copacabana;arma de fuego;1;15;1;2015;5
cauca;lopez;arma de fuego;1;16;1;2015;6
cesar;curumani;sin empleo de armas;1;25;1;2015;1
bolivar;cartagena (ct);arma de fuego;1;28;1;2015;4
valle;cali (ct);arma de fuego;1;28;1;2015;4
magdalena;santa marta (ct);arma de fuego;1;29;1;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;30;1;2015;6
atlantico;barranquilla (ct);arma de fuego;1;10;2;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;12;2;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;17;2;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;2;2015;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;2;2015;3
atlantico;barranquilla (ct);arma de fuego;1;27;2;2015;6
meta;villavicencio (ct);arma de fuego;1;27;2;2015;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;3;2015;6
antioquia;penol;arma de fuego;1;10;3;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;3;2015;3
santander;bucaramanga (ct);arma de fuego;1;11;3;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;3;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;3;2015;4
sucre;santiago de tolu;arma de fuego;1;18;3;2015;4
santander;bucaramanga (ct);arma de fuego;1;19;3;2015;5
cordoba;lorica;arma de fuego;1;20;3;2015;6
valle;cali (ct);arma de fuego;1;25;3;2015;4
valle;cali (ct);arma de fuego;1;26;3;2015;5
risaralda;dosquebradas;arma de fuego;1;30;3;2015;2
antioquia;penol;arma de fuego;1;1;4;2015;4
valle;cali (ct);arma de fuego;2;6;4;2015;2
risaralda;pereira (ct);arma de fuego;1;8;4;2015;4
antioquia;medellin (ct);arma de fuego;1;10;4;2015;6
risaralda;pereira (ct);arma de fuego;1;15;4;2015;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;16;4;2015;5
atlantico;puerto colombia;arma de fuego;1;18;4;2015;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;4;2015;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;4;2015;5
cesar;chiriguana;arma de fuego;1;24;4;2015;6
guajira;riohacha (ct);arma de fuego;1;24;4;2015;6
atlantico;barranquilla (ct);arma de fuego;1;3;5;2015;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;5;2015;2
meta;guamal;arma de fuego;1;6;5;2015;4
valle;cali (ct);arma de fuego;1;7;5;2015;5
antioquia;medellin (ct);arma de fuego;1;8;5;2015;6
amazonas;leticia (ct);arma de fuego;1;11;5;2015;2
valle;cali (ct);arma de fuego;1;19;5;2015;3
cesar;valledupar (ct);arma de fuego;1;22;5;2015;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;5;2015;2
santander;barrancabermeja;arma de fuego;1;25;5;2015;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;5;2015;3
meta;acacias;arma de fuego;1;28;5;2015;5
